2022-05-15 14:05:173 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (835ff8434310d378bdff8cd5ad63eaa0)] -> xpath: //input[@id='email']]
2022-05-15 14:05:267 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (835ff8434310d378bdff8cd5ad63eaa0)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:411 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:78 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (d098247c61534a609a63e4a3b9de0211)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:111 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (d098247c61534a609a63e4a3b9de0211)] -> xpath: //input[@id='email']]
2022-05-15 14:05:363 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (d098247c61534a609a63e4a3b9de0211)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:98 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:728 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (77068a07e1853697804187fed81bcaed)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:791 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (77068a07e1853697804187fed81bcaed)] -> xpath: //input[@id='email']]
2022-05-15 14:05:101 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (77068a07e1853697804187fed81bcaed)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:724 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:625 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (640a5ef928ca89e85940b3309c07b382)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:651 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (640a5ef928ca89e85940b3309c07b382)] -> xpath: //input[@id='email']]
2022-05-15 14:05:775 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (640a5ef928ca89e85940b3309c07b382)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:14 INFO  SigninPage :95 - verify signOut Link [[ChromeDriver: chrome on WINDOWS (640a5ef928ca89e85940b3309c07b382)] -> xpath: //a[@title='Log me out']]
2022-05-15 14:05:110 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:657 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (465f9171d60caad4477ca4c2885e537b)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:684 INFO  SigninPage :76 - verify Text [[ChromeDriver: chrome on WINDOWS (465f9171d60caad4477ca4c2885e537b)] -> xpath: //h1[normalize-space()='Authentication']]
2022-05-15 14:05:46 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:53 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (b7d51604ad0f54e0cb19556a03bcd1bb)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:94 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (b7d51604ad0f54e0cb19556a03bcd1bb)] -> xpath: //input[@id='email']]
2022-05-15 14:05:375 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (b7d51604ad0f54e0cb19556a03bcd1bb)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:701 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:923 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (aeda58cdb68c13788afb902a1cf97a4a)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:965 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (aeda58cdb68c13788afb902a1cf97a4a)] -> xpath: //input[@id='email']]
2022-05-15 14:05:132 INFO  SigninPage :65 - enter password[[ChromeDriver: chrome on WINDOWS (aeda58cdb68c13788afb902a1cf97a4a)] -> xpath: //input[@id='passwd']]
2022-05-15 14:05:268 INFO  ManageDriver :30 - Launching Chrome Browser
2022-05-15 14:05:551 INFO  HomePage :60 - Clicking on SignInLink: [[ChromeDriver: chrome on WINDOWS (1da9547fead39fa3c047877efdff9c76)] -> xpath: //a[normalize-space()='Sign in']]
2022-05-15 14:05:582 INFO  SigninPage :61 - enter username [[ChromeDriver: chrome on WINDOWS (1da9547fead39fa3c047877efdff9c76)] -> xpath: //input[@id='email']]
